round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
131,4,0.246,0.8938,0.6607,0.3592,0.4654,0.3415,20.5956
132,4,0.191,0.8925,0.6604,0.3398,0.4487,0.3419,20.6741
133,4,0.147,0.8938,0.6731,0.3398,0.4516,0.3433,20.7522
134,4,0.109,0.8938,0.68,0.3301,0.4444,0.3444,20.8301
135,4,0.138,0.8912,0.6538,0.3301,0.4387,0.3439,20.9077
136,4,0.128,0.8912,0.6538,0.3301,0.4387,0.3424,20.985
137,4,0.138,0.89,0.6471,0.3204,0.4286,0.3462,21.062
138,4,0.15,0.8925,0.6545,0.3495,0.4557,0.3457,21.1387
139,4,0.175,0.89,0.6415,0.3301,0.4359,0.3446,21.2152
140,4,0.142,0.8925,0.6604,0.3398,0.4487,0.346,21.2913
141,4,0.15,0.8975,0.6842,0.3786,0.4875,0.3439,21.3673
142,4,0.128,0.8962,0.6786,0.3689,0.478,0.3457,21.4429
143,4,0.134,0.8962,0.6724,0.3786,0.4845,0.3469,21.5183
144,4,0.153,0.8975,0.6842,0.3786,0.4875,0.346,21.5934
145,4,0.155,0.895,0.6727,0.3592,0.4684,0.3457,21.6682
146,4,0.16,0.8962,0.6786,0.3689,0.478,0.344,21.7428
147,4,0.136,0.8912,0.6481,0.3398,0.4459,0.3459,21.8171
148,4,0.139,0.89,0.6364,0.3398,0.443,0.3468,21.8912
149,4,0.143,0.89,0.6364,0.3398,0.443,0.3499,21.9651
150,4,0.133,0.8912,0.6429,0.3495,0.4528,0.351,22.0386
151,4,0.131,0.8925,0.6491,0.3592,0.4625,0.3516,22.112
152,4,0.147,0.8925,0.6491,0.3592,0.4625,0.3517,22.1851
153,4,0.157,0.89,0.6364,0.3398,0.443,0.3521,22.2579
154,4,0.13,0.89,0.6364,0.3398,0.443,0.3545,22.3306
155,4,0.155,0.8912,0.6481,0.3398,0.4459,0.3532,22.4029
156,4,0.127,0.8912,0.6429,0.3495,0.4528,0.3499,22.4751
157,4,0.156,0.8938,0.6607,0.3592,0.4654,0.3498,22.547
158,4,0.139,0.8912,0.6429,0.3495,0.4528,0.3506,22.6187
159,4,0.125,0.8888,0.625,0.3398,0.4403,0.3526,22.6902
160,4,0.155,0.89,0.6364,0.3398,0.443,0.3533,22.7614
161,4,0.148,0.8912,0.6429,0.3495,0.4528,0.3539,22.8324
162,4,0.149,0.8912,0.6429,0.3495,0.4528,0.3537,22.9032
163,4,0.134,0.89,0.6364,0.3398,0.443,0.3546,22.9738
164,4,0.127,0.8888,0.6296,0.3301,0.4331,0.3572,23.0442
165,4,0.153,0.8888,0.6296,0.3301,0.4331,0.3562,23.1143
166,4,0.155,0.8888,0.6346,0.3204,0.4258,0.3579,23.1843
167,4,0.124,0.8912,0.6481,0.3398,0.4459,0.3588,23.254
168,4,0.116,0.8912,0.6481,0.3398,0.4459,0.3579,23.3235
169,4,0.146,0.89,0.6364,0.3398,0.443,0.3591,23.3928
170,4,0.143,0.8888,0.6346,0.3204,0.4258,0.3599,23.4619
171,4,0.129,0.8912,0.6481,0.3398,0.4459,0.359,23.5308
172,4,0.29,0.8912,0.6538,0.3301,0.4387,0.3587,23.5995
173,4,0.154,0.8912,0.6481,0.3398,0.4459,0.3585,23.668
174,4,0.122,0.8925,0.6545,0.3495,0.4557,0.357,23.7363
175,4,0.139,0.8938,0.6607,0.3592,0.4654,0.3565,23.8044
176,4,0.153,0.8938,0.6552,0.3689,0.472,0.3573,23.8724
177,4,0.177,0.895,0.661,0.3786,0.4815,0.3565,23.9401
178,4,0.134,0.89,0.6364,0.3398,0.443,0.3558,24.0076
179,4,0.147,0.89,0.6364,0.3398,0.443,0.3562,24.075
180,4,0.146,0.8962,0.6667,0.3883,0.4908,0.356,24.1421
181,4,0.145,0.895,0.6667,0.3689,0.475,0.3589,24.2091
182,4,0.125,0.8925,0.6491,0.3592,0.4625,0.3606,24.2759
183,4,0.143,0.8925,0.6491,0.3592,0.4625,0.3616,24.3425
184,4,0.166,0.8875,0.6226,0.3204,0.4231,0.3644,24.4089
185,4,0.145,0.8912,0.6429,0.3495,0.4528,0.3633,24.4751
186,4,0.145,0.89,0.6364,0.3398,0.443,0.3653,24.5412
187,4,0.131,0.8912,0.6429,0.3495,0.4528,0.3675,24.6071
188,4,0.147,0.8888,0.6346,0.3204,0.4258,0.3679,24.6728
189,4,0.163,0.8875,0.6275,0.3107,0.4156,0.3666,24.7383
190,4,0.14,0.89,0.6471,0.3204,0.4286,0.3685,24.8037
191,4,0.137,0.89,0.6471,0.3204,0.4286,0.3689,24.8689
192,4,0.144,0.8875,0.6275,0.3107,0.4156,0.3688,24.9339
193,4,0.143,0.8912,0.6429,0.3495,0.4528,0.3652,24.9987
194,4,0.15,0.8912,0.6429,0.3495,0.4528,0.3635,25.0634
195,4,0.147,0.895,0.661,0.3786,0.4815,0.3637,25.1279
196,4,0.144,0.895,0.6667,0.3689,0.475,0.3633,25.1923
197,4,0.179,0.8938,0.6552,0.3689,0.472,0.3627,25.2564
198,4,0.144,0.8925,0.6441,0.3689,0.4691,0.3626,25.3205
199,4,0.144,0.8975,0.6842,0.3786,0.4875,0.3615,25.3843
200,4,0.16,0.8962,0.6667,0.3883,0.4908,0.3633,25.448
201,4,0.129,0.8938,0.6552,0.3689,0.472,0.3624,25.5116
202,4,0.125,0.8938,0.6607,0.3592,0.4654,0.3633,25.575
203,4,0.148,0.895,0.661,0.3786,0.4815,0.3653,25.6382
204,4,0.164,0.8925,0.6491,0.3592,0.4625,0.3672,25.7012
205,4,0.131,0.895,0.661,0.3786,0.4815,0.367,25.7642
206,4,0.139,0.8925,0.6545,0.3495,0.4557,0.3682,25.8269
207,4,0.143,0.895,0.661,0.3786,0.4815,0.3684,25.8895
208,4,0.148,0.8925,0.6491,0.3592,0.4625,0.371,25.952
209,4,0.148,0.8912,0.6429,0.3495,0.4528,0.3709,26.0143
210,4,0.151,0.895,0.661,0.3786,0.4815,0.3688,26.0765
211,4,0.156,0.8925,0.6491,0.3592,0.4625,0.3695,26.1385
212,4,0.138,0.89,0.6364,0.3398,0.443,0.3676,26.2003
213,4,0.137,0.8912,0.6429,0.3495,0.4528,0.3679,26.2621
214,4,0.137,0.8925,0.6491,0.3592,0.4625,0.3664,26.3236
