[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  56/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3251 | eps=59.848 | duree=0.061s
[server] round  57/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3257 | eps=60.380 | duree=0.064s
[server] round  58/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3267 | eps=60.907 | duree=0.049s
[server] round  59/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3274 | eps=61.430 | duree=0.053s
[server] round  60/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3283 | eps=61.949 | duree=0.048s
[server] round  61/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3293 | eps=62.463 | duree=0.05s
[server] round  62/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3298 | eps=62.973 | duree=0.065s
[server] round  63/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3301 | eps=63.479 | duree=0.059s
[server] round  64/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3306 | eps=63.980 | duree=0.039s
[server] round  65/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3309 | eps=64.478 | duree=0.061s
[server] round  66/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3313 | eps=64.972 | duree=0.079s
[server] round  67/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3325 | eps=65.463 | duree=0.048s
[server] round  68/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3329 | eps=65.949 | duree=0.038s
[server] round  69/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3333 | eps=66.433 | duree=0.056s
[server] round  70/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3334 | eps=66.912 | duree=0.066s
[server] round  71/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3347 | eps=67.388 | duree=0.044s
[server] round  72/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3353 | eps=67.861 | duree=0.063s
[server] round  73/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3357 | eps=68.331 | duree=0.066s
[server] round  74/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3362 | eps=68.797 | duree=0.072s
[server] round  75/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3369 | eps=69.261 | duree=0.038s
[server] round  76/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3378 | eps=69.721 | duree=0.053s
[server] round  77/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3385 | eps=70.178 | duree=0.065s
[server] round  78/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3394 | eps=70.632 | duree=0.064s
[server] round  79/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3398 | eps=71.084 | duree=0.037s
[server] round  80/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3403 | eps=71.532 | duree=0.072s
[server] round  81/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3408 | eps=71.978 | duree=0.066s
[server] round  82/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3413 | eps=72.421 | duree=0.063s
[server] round  83/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3416 | eps=72.861 | duree=0.057s
[server] round  84/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3414 | eps=73.299 | duree=0.034s
[server] round  85/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3423 | eps=73.734 | duree=0.063s
[server] round  86/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3427 | eps=74.166 | duree=0.064s
[server] round  87/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3431 | eps=74.596 | duree=0.051s
[server] round  88/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3440 | eps=75.024 | duree=0.117s
[server] round  89/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3448 | eps=75.449 | duree=0.1s
[server] round  90/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3450 | eps=75.871 | duree=0.122s
[server] round  91/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3452 | eps=76.292 | duree=0.057s
[server] round  92/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3457 | eps=76.710 | duree=0.041s
[server] round  93/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3461 | eps=77.126 | duree=0.052s
[server] round  94/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3467 | eps=77.539 | duree=0.062s
[server] round  95/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3473 | eps=77.950 | duree=0.069s
[server] round  96/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3481 | eps=78.360 | duree=0.062s
[server] round  97/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3484 | eps=78.767 | duree=0.032s
[server] round  98/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3488 | eps=79.172 | duree=0.062s
[server] round  99/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3487 | eps=79.575 | duree=0.063s
[server] round 100/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3495 | eps=79.975 | duree=0.035s
[server] round 101/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3499 | eps=80.374 | duree=0.132s
[server] round 102/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3508 | eps=80.771 | duree=0.138s
[server] round 103/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3515 | eps=81.166 | duree=0.069s
[server] round 104/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3528 | eps=81.559 | duree=0.034s
[server] round 105/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3532 | eps=81.950 | duree=0.065s
[server] round 106/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3540 | eps=82.340 | duree=0.063s
[server] round 107/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3544 | eps=82.727 | duree=0.039s
[server] round 108/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3553 | eps=83.113 | duree=0.063s
[server] round 109/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3557 | eps=83.497 | duree=0.041s
[server] round 110/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3556 | eps=83.879 | duree=0.06s
[server] round 111/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3562 | eps=84.259 | duree=0.062s
[server] round 112/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3559 | eps=84.638 | duree=0.042s
[server] round 113/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3562 | eps=85.015 | duree=0.069s
[server] round 114/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3552 | eps=85.390 | duree=0.052s
[server] round 115/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3546 | eps=85.764 | duree=0.057s
