[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  55/230 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3080 | eps=35.587 | duree=0.091s
[server] round  56/230 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3083 | eps=35.909 | duree=0.084s
[server] round  57/230 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3080 | eps=36.228 | duree=0.083s
[server] round  58/230 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3084 | eps=36.544 | duree=0.079s
[server] round  59/230 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3079 | eps=36.858 | duree=0.086s
[server] round  60/230 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3087 | eps=37.169 | duree=0.094s
[server] round  61/230 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3088 | eps=37.478 | duree=0.088s
[server] round  62/230 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3093 | eps=37.784 | duree=0.082s
[server] round  63/230 | actifs= 4 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3100 | eps=38.087 | duree=0.085s
[server] round  64/230 | actifs= 4 | acc=0.894 prec=0.714 recall=0.291 F1=0.414 loss=0.3113 | eps=38.388 | duree=0.082s
[server] round  65/230 | actifs= 4 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3113 | eps=38.687 | duree=0.093s
[server] round  66/230 | actifs= 4 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3109 | eps=38.983 | duree=0.081s
[server] round  67/230 | actifs= 4 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3113 | eps=39.278 | duree=0.086s
[server] round  68/230 | actifs= 4 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3117 | eps=39.570 | duree=0.084s
[server] round  69/230 | actifs= 4 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3122 | eps=39.860 | duree=0.082s
[server] round  70/230 | actifs= 4 | acc=0.891 prec=0.682 recall=0.291 F1=0.408 loss=0.3126 | eps=40.147 | duree=0.092s
[server] round  71/230 | actifs= 4 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3133 | eps=40.433 | duree=0.095s
[server] round  72/230 | actifs= 4 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3136 | eps=40.717 | duree=0.094s
[server] round  73/230 | actifs= 4 | acc=0.889 prec=0.652 recall=0.291 F1=0.403 loss=0.3137 | eps=40.999 | duree=0.094s
[server] round  74/230 | actifs= 4 | acc=0.889 prec=0.652 recall=0.291 F1=0.403 loss=0.3133 | eps=41.278 | duree=0.097s
[server] round  75/230 | actifs= 4 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3136 | eps=41.556 | duree=0.094s
[server] round  76/230 | actifs= 4 | acc=0.887 prec=0.638 recall=0.291 F1=0.400 loss=0.3143 | eps=41.833 | duree=0.091s
[server] round  77/230 | actifs= 4 | acc=0.887 prec=0.638 recall=0.291 F1=0.400 loss=0.3146 | eps=42.107 | duree=0.092s
[server] round  78/230 | actifs= 4 | acc=0.889 prec=0.652 recall=0.291 F1=0.403 loss=0.3154 | eps=42.379 | duree=0.092s
[server] round  79/230 | actifs= 4 | acc=0.890 prec=0.653 recall=0.311 F1=0.421 loss=0.3155 | eps=42.650 | duree=0.091s
[server] round  80/230 | actifs= 4 | acc=0.887 prec=0.633 recall=0.301 F1=0.408 loss=0.3160 | eps=42.919 | duree=0.091s
[server] round  81/230 | actifs= 4 | acc=0.887 prec=0.638 recall=0.291 F1=0.400 loss=0.3175 | eps=43.187 | duree=0.086s
[server] round  82/230 | actifs= 4 | acc=0.889 prec=0.652 recall=0.291 F1=0.403 loss=0.3186 | eps=43.453 | duree=0.083s
[server] round  83/230 | actifs= 4 | acc=0.887 prec=0.633 recall=0.301 F1=0.408 loss=0.3181 | eps=43.717 | duree=0.095s
[server] round  84/230 | actifs= 4 | acc=0.887 prec=0.633 recall=0.301 F1=0.408 loss=0.3190 | eps=43.979 | duree=0.114s
[server] round  85/230 | actifs= 4 | acc=0.887 prec=0.633 recall=0.301 F1=0.408 loss=0.3191 | eps=44.240 | duree=0.091s
[server] round  86/230 | actifs= 4 | acc=0.887 prec=0.633 recall=0.301 F1=0.408 loss=0.3199 | eps=44.500 | duree=0.116s
[server] round  87/230 | actifs= 4 | acc=0.887 prec=0.633 recall=0.301 F1=0.408 loss=0.3199 | eps=44.758 | duree=0.113s
[server] round  88/230 | actifs= 4 | acc=0.889 prec=0.640 recall=0.311 F1=0.418 loss=0.3204 | eps=45.014 | duree=0.1s
[server] round  89/230 | actifs= 4 | acc=0.889 prec=0.640 recall=0.311 F1=0.418 loss=0.3207 | eps=45.269 | duree=0.106s
