[server] en ecoute sur 127.0.0.1:8768 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  84/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3499 | eps=43.979 | duree=0.06s
[server] round  85/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3503 | eps=44.240 | duree=0.065s
[server] round  86/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3503 | eps=44.500 | duree=0.064s
[server] round  87/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3499 | eps=44.758 | duree=0.066s
[server] round  88/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3499 | eps=45.014 | duree=0.059s
[server] round  89/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3491 | eps=45.269 | duree=0.073s
[server] round  90/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3487 | eps=45.523 | duree=0.066s
[server] round  91/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3488 | eps=45.775 | duree=0.059s
[server] round  92/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3485 | eps=46.026 | duree=0.047s
[server] round  93/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3489 | eps=46.275 | duree=0.056s
[server] round  94/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3490 | eps=46.523 | duree=0.06s
[server] round  95/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3489 | eps=46.770 | duree=0.035s
[server] round  96/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3494 | eps=47.016 | duree=0.056s
[server] round  97/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3494 | eps=47.260 | duree=0.067s
[server] round  98/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3493 | eps=47.503 | duree=0.076s
[server] round  99/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3492 | eps=47.745 | duree=0.066s
[server] round 100/100 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3488 | eps=47.985 | duree=0.063s
[server] modele global final sauvegarde dans results_E\global_model_final.npz
[server] historique des metriques sauvegarde dans results_E\metrics_history.csv
[server] entrainement federe termine.
