[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  81/230 | actifs= 4 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3231 | eps=16.195 | duree=0.138s
[server] round  82/230 | actifs= 4 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3232 | eps=16.295 | duree=0.145s
[server] round  83/230 | actifs= 4 | acc=0.889 prec=0.675 recall=0.262 F1=0.378 loss=0.3231 | eps=16.394 | duree=0.159s
[server] round  84/230 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3252 | eps=16.492 | duree=0.135s
[server] round  85/230 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3255 | eps=16.590 | duree=0.135s
[server] round  86/230 | actifs= 4 | acc=0.887 prec=0.644 recall=0.282 F1=0.392 loss=0.3232 | eps=16.687 | duree=0.167s
[server] round  87/230 | actifs= 4 | acc=0.892 prec=0.681 recall=0.311 F1=0.427 loss=0.3235 | eps=16.784 | duree=0.153s
[server] round  88/230 | actifs= 4 | acc=0.891 prec=0.660 recall=0.320 F1=0.431 loss=0.3221 | eps=16.880 | duree=0.139s
[server] round  89/230 | actifs= 4 | acc=0.894 prec=0.688 recall=0.320 F1=0.437 loss=0.3236 | eps=16.976 | duree=0.253s
[server] round  90/230 | actifs= 4 | acc=0.894 prec=0.696 recall=0.311 F1=0.430 loss=0.3260 | eps=17.071 | duree=0.199s
[server] round  91/230 | actifs= 4 | acc=0.891 prec=0.674 recall=0.301 F1=0.416 loss=0.3281 | eps=17.166 | duree=0.151s
[server] round  92/230 | actifs= 4 | acc=0.887 prec=0.633 recall=0.301 F1=0.408 loss=0.3262 | eps=17.260 | duree=0.127s
[server] round  93/230 | actifs= 4 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3273 | eps=17.353 | duree=0.148s
[server] round  94/230 | actifs= 4 | acc=0.891 prec=0.667 recall=0.311 F1=0.424 loss=0.3286 | eps=17.446 | duree=0.138s
[server] round  95/230 | actifs= 4 | acc=0.892 prec=0.689 recall=0.301 F1=0.419 loss=0.3302 | eps=17.539 | duree=0.149s
[server] round  96/230 | actifs= 4 | acc=0.891 prec=0.674 recall=0.301 F1=0.416 loss=0.3301 | eps=17.631 | duree=0.161s
[server] round  97/230 | actifs= 4 | acc=0.892 prec=0.673 recall=0.320 F1=0.434 loss=0.3294 | eps=17.722 | duree=0.13s
[server] round  98/230 | actifs= 4 | acc=0.891 prec=0.660 recall=0.320 F1=0.431 loss=0.3303 | eps=17.814 | duree=0.148s
[server] round  99/230 | actifs= 4 | acc=0.891 prec=0.660 recall=0.320 F1=0.431 loss=0.3301 | eps=17.904 | duree=0.141s
[server] round 100/230 | actifs= 4 | acc=0.894 prec=0.673 recall=0.340 F1=0.452 loss=0.3308 | eps=17.994 | duree=0.148s
[server] round 101/230 | actifs= 4 | acc=0.891 prec=0.660 recall=0.320 F1=0.431 loss=0.3307 | eps=18.084 | duree=0.136s
[server] round 102/230 | actifs= 4 | acc=0.889 prec=0.640 recall=0.311 F1=0.418 loss=0.3343 | eps=18.174 | duree=0.144s
[server] round 103/230 | actifs= 4 | acc=0.890 prec=0.660 recall=0.301 F1=0.413 loss=0.3352 | eps=18.262 | duree=0.146s
[server] round 104/230 | actifs= 4 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3376 | eps=18.351 | duree=0.146s
[server] round 105/230 | actifs= 4 | acc=0.886 prec=0.636 recall=0.272 F1=0.381 loss=0.3393 | eps=18.439 | duree=0.136s
[server] round 106/230 | actifs= 4 | acc=0.889 prec=0.652 recall=0.291 F1=0.403 loss=0.3382 | eps=18.526 | duree=0.132s
[server] round 107/230 | actifs= 4 | acc=0.892 prec=0.681 recall=0.311 F1=0.427 loss=0.3378 | eps=18.614 | duree=0.142s
[server] round 108/230 | actifs= 4 | acc=0.892 prec=0.681 recall=0.311 F1=0.427 loss=0.3357 | eps=18.700 | duree=0.142s
[server] round 109/230 | actifs= 4 | acc=0.891 prec=0.660 recall=0.320 F1=0.431 loss=0.3360 | eps=18.787 | duree=0.178s
[server] round 110/230 | actifs= 4 | acc=0.892 prec=0.667 recall=0.330 F1=0.442 loss=0.3342 | eps=18.873 | duree=0.127s
[server] round 111/230 | actifs= 4 | acc=0.894 prec=0.673 recall=0.340 F1=0.452 loss=0.3348 | eps=18.958 | duree=0.149s
[server] round 112/230 | actifs= 4 | acc=0.894 prec=0.673 recall=0.340 F1=0.452 loss=0.3368 | eps=19.044 | duree=0.14s
[server] round 113/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3374 | eps=19.128 | duree=0.152s
[server] round 114/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3373 | eps=19.213 | duree=0.143s
[server] round 115/230 | actifs= 4 | acc=0.894 prec=0.667 recall=0.350 F1=0.459 loss=0.3377 | eps=19.297 | duree=0.108s
[server] round 116/230 | actifs= 4 | acc=0.895 prec=0.673 recall=0.359 F1=0.468 loss=0.3374 | eps=19.381 | duree=0.15s
[server] round 117/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3382 | eps=19.464 | duree=0.135s
[server] round 118/230 | actifs= 4 | acc=0.889 prec=0.646 recall=0.301 F1=0.411 loss=0.3388 | eps=19.547 | duree=0.158s
[server] round 119/230 | actifs= 4 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3376 | eps=19.630 | duree=0.143s
[server] round 120/230 | actifs= 4 | acc=0.892 prec=0.655 recall=0.350 F1=0.456 loss=0.3373 | eps=19.712 | duree=0.136s
[server] round 121/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3369 | eps=19.794 | duree=0.149s
[server] round 122/230 | actifs= 4 | acc=0.894 prec=0.673 recall=0.340 F1=0.452 loss=0.3388 | eps=19.876 | duree=0.15s
[server] round 123/230 | actifs= 4 | acc=0.894 prec=0.667 recall=0.350 F1=0.459 loss=0.3381 | eps=19.957 | duree=0.16s
[server] round 124/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3381 | eps=20.038 | duree=0.163s
[server] round 125/230 | actifs= 4 | acc=0.896 prec=0.685 recall=0.359 F1=0.471 loss=0.3396 | eps=20.118 | duree=0.157s
[server] round 126/230 | actifs= 4 | acc=0.894 prec=0.667 recall=0.350 F1=0.459 loss=0.3386 | eps=20.199 | duree=0.142s
[server] round 127/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3420 | eps=20.279 | duree=0.129s
[server] round 128/230 | actifs= 4 | acc=0.890 prec=0.653 recall=0.311 F1=0.421 loss=0.3424 | eps=20.358 | duree=0.148s
[server] round 129/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3429 | eps=20.438 | duree=0.154s
[server] round 130/230 | actifs= 4 | acc=0.890 prec=0.647 recall=0.320 F1=0.429 loss=0.3434 | eps=20.517 | duree=0.155s
[server] round 131/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3415 | eps=20.596 | duree=0.246s
[server] round 132/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3419 | eps=20.674 | duree=0.191s
[server] round 133/230 | actifs= 4 | acc=0.894 prec=0.673 recall=0.340 F1=0.452 loss=0.3433 | eps=20.752 | duree=0.147s
[server] round 134/230 | actifs= 4 | acc=0.894 prec=0.680 recall=0.330 F1=0.444 loss=0.3444 | eps=20.830 | duree=0.109s
[server] round 135/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3439 | eps=20.908 | duree=0.138s
[server] round 136/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3424 | eps=20.985 | duree=0.128s
[server] round 137/230 | actifs= 4 | acc=0.890 prec=0.647 recall=0.320 F1=0.429 loss=0.3462 | eps=21.062 | duree=0.138s
[server] round 138/230 | actifs= 4 | acc=0.892 prec=0.655 recall=0.350 F1=0.456 loss=0.3457 | eps=21.139 | duree=0.15s
[server] round 139/230 | actifs= 4 | acc=0.890 prec=0.642 recall=0.330 F1=0.436 loss=0.3446 | eps=21.215 | duree=0.175s
