[server] en ecoute sur 127.0.0.1:8768 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  62/100 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3105 | eps=37.784 | duree=0.068s
[server] round  63/100 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3108 | eps=38.087 | duree=0.138s
[server] round  64/100 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3112 | eps=38.388 | duree=0.137s
[server] round  65/100 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3117 | eps=38.687 | duree=0.075s
[server] round  66/100 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3122 | eps=38.983 | duree=0.066s
[server] round  67/100 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3130 | eps=39.278 | duree=0.034s
[server] round  68/100 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3136 | eps=39.570 | duree=0.06s
[server] round  69/100 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3139 | eps=39.860 | duree=0.058s
[server] round  70/100 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3148 | eps=40.147 | duree=0.074s
[server] round  71/100 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3157 | eps=40.433 | duree=0.04s
[server] round  72/100 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3167 | eps=40.717 | duree=0.06s
[server] round  73/100 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3168 | eps=40.999 | duree=0.034s
[server] round  74/100 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3173 | eps=41.278 | duree=0.065s
[server] round  75/100 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3187 | eps=41.556 | duree=0.036s
[server] round  76/100 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3197 | eps=41.833 | duree=0.06s
[server] round  77/100 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3195 | eps=42.107 | duree=0.061s
[server] round  78/100 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3197 | eps=42.379 | duree=0.065s
[server] round  79/100 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3197 | eps=42.650 | duree=0.062s
[server] round  80/100 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3203 | eps=42.919 | duree=0.037s
[server] round  81/100 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3209 | eps=43.187 | duree=0.061s
[server] round  82/100 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3208 | eps=43.453 | duree=0.057s
[server] round  83/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3212 | eps=43.717 | duree=0.036s
[server] round  84/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3214 | eps=43.979 | duree=0.059s
[server] round  85/100 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3221 | eps=44.240 | duree=0.061s
[server] round  86/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3225 | eps=44.500 | duree=0.049s
[server] round  87/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3223 | eps=44.758 | duree=0.053s
[server] round  88/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3235 | eps=45.014 | duree=0.037s
[server] round  89/100 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3242 | eps=45.269 | duree=0.072s
[server] round  90/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3247 | eps=45.523 | duree=0.078s
[server] round  91/100 | actifs= 4 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3244 | eps=45.775 | duree=0.066s
[server] round  92/100 | actifs= 4 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3245 | eps=46.026 | duree=0.039s
[server] round  93/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3258 | eps=46.275 | duree=0.06s
[server] round  94/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3268 | eps=46.523 | duree=0.036s
[server] round  95/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3268 | eps=46.770 | duree=0.06s
[server] round  96/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3281 | eps=47.016 | duree=0.059s
[server] round  97/100 | actifs= 4 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3286 | eps=47.260 | duree=0.062s
[server] round  98/100 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3293 | eps=47.503 | duree=0.062s
[server] round  99/100 | actifs= 4 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3295 | eps=47.745 | duree=0.067s
[server] round 100/100 | actifs= 4 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3297 | eps=47.985 | duree=0.044s
[server] modele global final sauvegarde dans results_F\global_model_final.npz
[server] historique des metriques sauvegarde dans results_F\metrics_history.csv
[server] entrainement federe termine.
