[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  60/230 | actifs= 4 | acc=0.877 prec=0.857 recall=0.058 F1=0.109 loss=0.3269 | eps=61.949 | duree=0.071s
[server] round  61/230 | actifs= 4 | acc=0.877 prec=0.857 recall=0.058 F1=0.109 loss=0.3282 | eps=62.463 | duree=0.07s
[server] round  62/230 | actifs= 4 | acc=0.877 prec=0.857 recall=0.058 F1=0.109 loss=0.3284 | eps=62.973 | duree=0.071s
[server] round  63/230 | actifs= 4 | acc=0.877 prec=0.857 recall=0.058 F1=0.109 loss=0.3254 | eps=63.479 | duree=0.065s
[server] round  64/230 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.3247 | eps=63.980 | duree=0.07s
[server] round  65/230 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.3240 | eps=64.478 | duree=0.072s
[server] round  66/230 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3240 | eps=64.972 | duree=0.063s
[server] round  67/230 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3236 | eps=65.463 | duree=0.069s
[server] round  68/230 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.3234 | eps=65.949 | duree=0.096s
[server] round  69/230 | actifs= 4 | acc=0.877 prec=0.778 recall=0.068 F1=0.125 loss=0.3236 | eps=66.433 | duree=0.089s
[server] round  70/230 | actifs= 4 | acc=0.879 prec=0.800 recall=0.078 F1=0.142 loss=0.3226 | eps=66.912 | duree=0.083s
[server] round  71/230 | actifs= 4 | acc=0.879 prec=0.800 recall=0.078 F1=0.142 loss=0.3244 | eps=67.388 | duree=0.102s
[server] round  72/230 | actifs= 4 | acc=0.877 prec=0.778 recall=0.068 F1=0.125 loss=0.3239 | eps=67.861 | duree=0.086s
[server] round  73/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3239 | eps=68.331 | duree=0.089s
[server] round  74/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3252 | eps=68.797 | duree=0.078s
[server] round  75/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3248 | eps=69.261 | duree=0.113s
[server] round  76/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3235 | eps=69.721 | duree=0.085s
[server] round  77/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3250 | eps=70.178 | duree=0.087s
[server] round  78/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3242 | eps=70.632 | duree=0.063s
[server] round  79/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3256 | eps=71.084 | duree=0.073s
[server] round  80/230 | actifs= 4 | acc=0.880 prec=0.769 recall=0.097 F1=0.172 loss=0.3253 | eps=71.532 | duree=0.064s
[server] round  81/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3256 | eps=71.978 | duree=0.074s
[server] round  82/230 | actifs= 4 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3270 | eps=72.421 | duree=0.065s
[server] round  83/230 | actifs= 4 | acc=0.877 prec=0.692 recall=0.087 F1=0.155 loss=0.3266 | eps=72.861 | duree=0.066s
[server] round  84/230 | actifs= 4 | acc=0.879 prec=0.714 recall=0.097 F1=0.171 loss=0.3268 | eps=73.299 | duree=0.064s
[server] round  85/230 | actifs= 4 | acc=0.879 prec=0.714 recall=0.097 F1=0.171 loss=0.3254 | eps=73.734 | duree=0.051s
[server] round  86/230 | actifs= 4 | acc=0.879 prec=0.714 recall=0.097 F1=0.171 loss=0.3255 | eps=74.166 | duree=0.057s
[server] round  87/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3248 | eps=74.596 | duree=0.067s
[server] round  88/230 | actifs= 4 | acc=0.879 prec=0.714 recall=0.097 F1=0.171 loss=0.3258 | eps=75.024 | duree=0.068s
[server] round  89/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3247 | eps=75.449 | duree=0.072s
[server] round  90/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3265 | eps=75.871 | duree=0.083s
